item,BT_Score_Bipartite,BT_Strength_Bipartite,BT_Total_Wins
s_vocab_0_2021,-1.2746578257660355,0.2795265986591073,369.0
s_vocab_10_2021,0.7218193407365656,2.058174326825175,851.0
s_vocab_11_2021,-0.6010308483103681,0.5482461860429363,515.0
s_vocab_12_2021,-0.6855596013342088,0.5038082189239215,494.0
s_vocab_13_2021,-0.8128261491663813,0.4436026058646755,464.0
s_vocab_14_2021,-1.4106896771673871,0.24397496115606634,335.0
s_vocab_15_2021,-0.07717583094382136,0.9257270678314687,645.0
s_vocab_16_2021,-0.5863531103425804,0.5563525458833686,517.0
s_vocab_17_2021,-1.7325077684282486,0.17684037872021494,274.0
s_vocab_18_2021,1.8834586992355242,6.576210708158984,1095.0
s_vocab_19_2021,-1.245212706854828,0.28787966763919254,366.0
s_vocab_1_2021,-0.533067714265526,0.586802064628792,538.0
s_vocab_20_2021,-0.33722001695296316,0.7137517851330607,575.0
s_vocab_21_2021,0.22324047951141274,1.2501211661186156,716.0
s_vocab_22_2021,-1.6335101617088137,0.19524303527429798,289.0
s_vocab_23_2021,-1.6898706477016767,0.18454339356126176,279.0
s_vocab_24_2021,0.3610820328639812,1.4348811634620613,750.0
s_vocab_25_2021,-0.3725116406617088,0.689001631076295,564.0
s_vocab_26_2021,-2.05963158496686,0.12750093450406622,219.0
s_vocab_27_2021,0.5316019075773051,1.7016560221432768,793.0
s_vocab_28_2021,-2.100441939788849,0.12240232184170519,212.0
s_vocab_29_2021,-1.7043657844278481,0.1818877056180949,274.0
s_vocab_2_2021,-1.1973035446078883,0.3020074646260637,383.0
s_vocab_30_2021,1.0908954898579941,2.97693869772428,923.0
s_vocab_31_2021,0.8220986999575597,2.275269939200316,860.0
s_vocab_32_2021,0.7066896319963732,2.027269131560403,832.0
s_vocab_33_2021,-0.9184917869305135,0.3991205461956314,431.0
s_vocab_34_2021,2.5460134319141963,12.756149026238527,1183.0
s_vocab_35_2021,0.8206446501369016,2.2719639874450217,858.0
s_vocab_3_2021,-2.142371925592217,0.1173761051919459,213.0
s_vocab_4_2021,2.473606299500419,11.865159106121364,1197.0
s_vocab_5_2021,-0.6168388718327079,0.5396476395102651,514.0
s_vocab_6_2021,-0.7120327752900832,0.4906458103769433,491.0
s_vocab_7_2021,0.31127069881352165,1.3651587180179643,748.0
s_vocab_8_2021,-0.8112299600767893,0.44431124491477436,466.0
s_vocab_9_2021,-0.6015716705534747,0.5479497624742806,516.0
