item,section_prompt,item_text,combined_text
s_cc_22_2021,"Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.",What is this passage mostly about?,"Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: What is this passage mostly about?
Where scientists found over 50,000 birds to study
How migratory birds’ skeletal system works
How scientists measure the size of birds’ bones
Why migratory birds’ bones are changing"
s_cc_34_2021,"In many ways, skyscrapers are like the human body. They have bones that keep it tall and strong and skin to protect the body. They have a command center that is like a brain. How do engineers design and build strong and smart skyscrapers? It is very challenging to build a skyscraper because there are many parts that have to work together. If one part is broken, the skyscraper will not work properly. First, engineers need a strong and tall frame that supports the floors and walls. This frame is like the bones of a skyscraper. The bones of a skyscraper are made of concrete, steel and other materials. The columns are like the backbone of a human body. The columns go up. The steel columns hold up each floor. There are also steel beams that go across each floor. The steel columns and beams must be strong to resist the force of gravity. The steel columns and beams must work together to form a strong backbone. Second, engineers need to design a command center. The command center is a computer that sends signals through wires in a skyscraper. For example, it sends signals to help bring fresh air into rooms, just like your lungs. The command center also controls the heating and air conditioning. It helps the building cool down when it’s too hot and warm up when it’s too cold. A skyscraper has many different parts that work together. The bones make the building tall and strong. The skin protects the inside of the building. The skin of a skyscraper can be made of metal, stone, or glass. The brain controls the building temperature. The anatomy of a skyscraper is like a human body. All the parts have to work together. That's how a city skyscraper works properly.",What is this passage mostly about?,"In many ways, skyscrapers are like the human body. They have bones that keep it tall and strong and skin to protect the body. They have a command center that is like a brain. How do engineers design and build strong and smart skyscrapers? It is very challenging to build a skyscraper because there are many parts that have to work together. If one part is broken, the skyscraper will not work properly. First, engineers need a strong and tall frame that supports the floors and walls. This frame is like the bones of a skyscraper. The bones of a skyscraper are made of concrete, steel and other materials. The columns are like the backbone of a human body. The columns go up. The steel columns hold up each floor. There are also steel beams that go across each floor. The steel columns and beams must be strong to resist the force of gravity. The steel columns and beams must work together to form a strong backbone. Second, engineers need to design a command center. The command center is a computer that sends signals through wires in a skyscraper. For example, it sends signals to help bring fresh air into rooms, just like your lungs. The command center also controls the heating and air conditioning. It helps the building cool down when it’s too hot and warm up when it’s too cold. A skyscraper has many different parts that work together. The bones make the building tall and strong. The skin protects the inside of the building. The skin of a skyscraper can be made of metal, stone, or glass. The brain controls the building temperature. The anatomy of a skyscraper is like a human body. All the parts have to work together. That's how a city skyscraper works properly.: What is this passage mostly about?
How a skyscraper’s body is like the structure of a human body
How engineers design and build tall and safe skyscrapers
How a skyscraper resists the force of gravity and stands tall
How steel, concrete, and wires are part of skyscrapers"
s_cc_23_2021,"Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.","In order to study the mystery of change in birds’ body size, what did scientists do first?","Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: In order to study the mystery of change in birds’ body size, what did scientists do first?
Scientists focused on the birds’ skeletal system
Scientists examined the human muscular system
Scientists flew to North America
Scientists studied the environment that birds live in"
s_cc_14_2021,"Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.",What is the main question that scientists are trying to answer in this passage?,"Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: What is the main question that scientists are trying to answer in this passage?
How do birds fly long distances?
Where do birds find food in the winter?
Why are birds getting smaller?
Why are birds dying in Chicago?"
s_cc_18_2021,"Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.",What is the main idea of this passage?,"Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: What is the main idea of this passage?
Birds migrate to warmer climates
Birds change over time
Many birds have been dying
Birds have remained the same"
s_cc_32_2021,"In many ways, skyscrapers are like the human body. They have bones that keep it tall and strong and skin to protect the body. They have a command center that is like a brain. How do engineers design and build strong and smart skyscrapers? It is very challenging to build a skyscraper because there are many parts that have to work together. If one part is broken, the skyscraper will not work properly. First, engineers need a strong and tall frame that supports the floors and walls. This frame is like the bones of a skyscraper. The bones of a skyscraper are made of concrete, steel and other materials. The columns are like the backbone of a human body. The columns go up. The steel columns hold up each floor. There are also steel beams that go across each floor. The steel columns and beams must be strong to resist the force of gravity. The steel columns and beams must work together to form a strong backbone. Second, engineers need to design a command center. The command center is a computer that sends signals through wires in a skyscraper. For example, it sends signals to help bring fresh air into rooms, just like your lungs. The command center also controls the heating and air conditioning. It helps the building cool down when it’s too hot and warm up when it’s too cold. A skyscraper has many different parts that work together. The bones make the building tall and strong. The skin protects the inside of the building. The skin of a skyscraper can be made of metal, stone, or glass. The brain controls the building temperature. The anatomy of a skyscraper is like a human body. All the parts have to work together. That's how a city skyscraper works properly.",Why does the author compare the steel and concrete of a skyscraper to a human skeleton?,"In many ways, skyscrapers are like the human body. They have bones that keep it tall and strong and skin to protect the body. They have a command center that is like a brain. How do engineers design and build strong and smart skyscrapers? It is very challenging to build a skyscraper because there are many parts that have to work together. If one part is broken, the skyscraper will not work properly. First, engineers need a strong and tall frame that supports the floors and walls. This frame is like the bones of a skyscraper. The bones of a skyscraper are made of concrete, steel and other materials. The columns are like the backbone of a human body. The columns go up. The steel columns hold up each floor. There are also steel beams that go across each floor. The steel columns and beams must be strong to resist the force of gravity. The steel columns and beams must work together to form a strong backbone. Second, engineers need to design a command center. The command center is a computer that sends signals through wires in a skyscraper. For example, it sends signals to help bring fresh air into rooms, just like your lungs. The command center also controls the heating and air conditioning. It helps the building cool down when it’s too hot and warm up when it’s too cold. A skyscraper has many different parts that work together. The bones make the building tall and strong. The skin protects the inside of the building. The skin of a skyscraper can be made of metal, stone, or glass. The brain controls the building temperature. The anatomy of a skyscraper is like a human body. All the parts have to work together. That's how a city skyscraper works properly.: Why does the author compare the steel and concrete of a skyscraper to a human skeleton?
These materials are strong and hold up the building
These materials are easily destroyed by wind and earthquakes
The wires inside the skyscraper are like human bones
Tall buildings have fast and safe passenger elevators"
s_cc_10_2021,"A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests. But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. Now scientists are using what they found in this experiment to help humans who have had heart attacks.",How did scientists know that they successfully found a way to help humans from a macaque money’s heart?,"A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests. But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. Now scientists are using what they found in this experiment to help humans who have had heart attacks.: How did scientists know that they successfully found a way to help humans from a macaque money’s heart?
The scar tissue on the monkey’s heart grew bigger
The monkey’s heart did not pump blood to give the body oxygen
The monkey got a heart attack after three months
The monkey’s heart with human stem cells became stronger"
s_cc_5_2021,"A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests. But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. Now scientists are using what they found in this experiment to help humans who have had heart attacks.",Why do scientists study monkey hearts?,"A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests. But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. Now scientists are using what they found in this experiment to help humans who have had heart attacks.: Why do scientists study monkey hearts?
Because they want to help humans who have heart attacks
Because they want to diagnose monkey problems
Because they want to provide a home for monkeys
Because they want to cover up scars"
s_cc_2_2021,"A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests. But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. Now scientists are using what they found in this experiment to help humans who have had heart attacks.","According to the passage, what is an important function of the heart muscle?","A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests. But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. Now scientists are using what they found in this experiment to help humans who have had heart attacks.: According to the passage, what is an important function of the heart muscle?
To help scientists study mysteries
To be a part of the nervous system
To help primates heal scar tissue
To pump oxygen to the brain"
s_cc_9_2021,"A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests. But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. Now scientists are using what they found in this experiment to help humans who have had heart attacks.",Structure means,"A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests. But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. Now scientists are using what they found in this experiment to help humans who have had heart attacks.: Structure means
A heart muscle that is weak
How a heart muscle gets oxygen
How something is put together
Someone is strict and follows rules"
