table,item,hbt_native_mean_strength,hbt_native_posterior_sd,hbt_z_score,hbt_z_SE
frac20,item_1,0.69589727504712,0.15717529919236442,0.6038278998027258,0.13268729793958656
frac20,item_10,0.5304072580202751,0.1494469242223806,0.4601961251818089,0.12776361202899114
frac20,item_11,0.5256009013241737,0.13770712524832004,0.45679985941425855,0.11996461530495571
frac20,item_12,-3.002258887702038,0.3335588583041701,-2.5996802916597606,0.18607035749507697
frac20,item_13,2.3513257746945797,0.2335847652558777,2.0409055934401494,0.17707241853948302
frac20,item_14,0.05475462364281123,0.14282251641167348,0.04790674807905075,0.12444333537141236
frac20,item_15,-0.6246993921496603,0.16381265582744428,-0.5439052098702176,0.14610845851016885
frac20,item_16,-0.273694913663426,0.17022726964025295,-0.23722211835874085,0.14721587933527366
frac20,item_17,0.4953998804270613,0.14169005005482765,0.42965052819445226,0.12035962689937518
frac20,item_18,-0.004143902625551017,0.14363653063439888,-0.003945358212719416,0.1248513921548225
frac20,item_19,0.6199134392012372,0.1732075358714587,0.5377246326122691,0.14725426510906747
frac20,item_2,-0.24370418843913708,0.14727808615494198,-0.21210596666047551,0.1287800022609336
frac20,item_20,1.3895828079689798,0.17888709750234102,1.2069539582547597,0.15103747473906412
frac20,item_3,0.46882097933256955,0.14041260142755493,0.40682693985551305,0.1202190841392547
frac20,item_4,0.39743285433967845,0.15533384976178563,0.34480613040582725,0.13370982621607233
frac20,item_5,0.8146617187761567,0.1575349072617143,0.7078522096671297,0.1364700141285582
frac20,item_6,-0.6076482770031164,0.1444339238833112,-0.5293614515055075,0.13114422547276236
frac20,item_7,-0.8665836426356952,0.14967233820266862,-0.7540195385497179,0.13576950949874467
frac20,item_8,-1.0602966787959345,0.16307474194713442,-0.9222236315555441,0.1468954803559529
frac20,item_9,-1.6607676297600842,0.21408093024922759,-1.4409870585352609,0.16802523694592553
gilbert_meta_102,vocab_q0,0.9459199082168838,0.1291880614952916,0.7139013739525408,0.0914306620590123
gilbert_meta_102,vocab_q1,0.1566502401666153,0.13369039908633928,0.11824818078993324,0.10057965793514569
gilbert_meta_102,vocab_q10,1.1885066347746245,0.13800412148232094,0.8972614779695637,0.09752342575979996
gilbert_meta_102,vocab_q11,-0.9988933347064999,0.14823072499398823,-0.75405001872054,0.10724130444671186
gilbert_meta_102,vocab_q12,-1.4188088729544548,0.16312348106870042,-1.0710749552143617,0.1148160151209222
gilbert_meta_102,vocab_q13,-0.8894276201222528,0.14156939108625818,-0.6711734527676301,0.10153318589581022
gilbert_meta_102,vocab_q14,-0.8922021869650963,0.13759209642995462,-0.6736427782854973,0.10076496942723337
gilbert_meta_102,vocab_q15,0.6823933146751359,0.127634985563097,0.5151352343663621,0.09371565320394219
gilbert_meta_102,vocab_q16,-1.4250520339664807,0.1443337308857779,-1.0758484554529684,0.09992459378444311
gilbert_meta_102,vocab_q17,-0.048649360324959826,0.12507274493780798,-0.03696072529847109,0.09442744382050292
gilbert_meta_102,vocab_q18,2.0450681330939897,0.1832927794505034,1.5435769009956928,0.11901762023057587
gilbert_meta_102,vocab_q19,-0.056263464056691866,0.14404382814871594,-0.042142833188592285,0.10858957125387148
