item,discrimination_a,difficulty_b
hadsx2,1.2334639036979766,-1.8578737118769741
hadsx8,1.1754395649533247,-0.9454109263580667
hadsx3,1.6117723101564594,-0.752554826122968
hadsx1,2.0084565244389476,-0.6235856847122035
hadsx9,2.0348180124653283,-0.5643874230965161
hadsx13,1.7917227986002495,-0.5124842432496273
hadsx6,1.3283292377743463,-0.2826568930052678
hadsx10,2.4010307197026184,0.012318724252568563
hadsx5,2.1114416537267253,0.05313965221756206
hadsx11,3.103904994782556,0.0918546670391441
hadsx12,1.838856229520897,0.12132762763926609
hadsx4,1.4764956346634923,0.31789222756575664
hadsx7,3.0340525124376074,0.6839442108941544
hadsx14,1.716032076211031,1.0093680123572983
