item,a_2PL,b_2PL,b_1PL
item_1,2.9231938427263167,-0.1282385345748606,-0.1643189240757396
item_10,3.678465755235994,0.27773973011898523,0.6362302439964872
item_11,3.5930819848652353,0.03494216291157033,0.14290640019651812
item_12,2.5649447662172125,-0.7377940563443837,-1.28781344283811
item_13,3.7609178856602323,0.5087907274050225,1.1419516938091925
item_14,3.0783057464213446,-0.6815738729705272,-1.2405880482178866
item_15,3.40687214529006,0.09410359298759556,0.2621719054122999
item_16,2.6220010402145193,-0.62368709637372,-1.0798683837897485
item_17,4.149214704128132,0.14409838906154404,0.36210476559266197
item_18,2.920754127467247,0.04746018929400739,0.17267393557503435
item_19,4.177541998634653,0.4676578816685098,1.0521280743081438
item_2,3.9620129297099136,-0.24009880057308533,-0.4043036075079971
item_20,4.053972960790394,0.25242326438263274,0.5848500148116191
item_3,3.2962305362717195,-0.07779010234774221,-0.07502811851112043
item_4,1.9557798096671541,-0.1370143943639171,-0.14445603346046557
item_5,1.5018243001993345,-0.3547871292297889,-0.44471597963079107
item_6,3.3916405503014935,-0.9059116565133214,-1.7349369395176917
item_7,3.0665653685832392,0.23572660954800115,0.5439751931178967
item_8,1.5769559705960021,-0.9791134951922972,-1.4088464361058164
item_9,0.9920187750532905,-0.7655072616667249,-0.7962642567765476
