item,BT_Score_Bipartite,BT_Strength_Bipartite,BT_Total_Wins
item_1,0.08839504626043539,1.0924195930721443,251.0
item_10,1.3474667708405315,3.8476661544494077,331.0
item_11,0.5699916883118222,1.7682523542104678,282.0
item_12,-1.6058240457967736,0.20072408090533544,145.0
item_13,2.1347964946076936,8.455325627404486,378.0
item_14,-1.5367800960215652,0.21507250051033738,149.0
item_15,0.7579885781041921,2.1339795675271795,294.0
item_16,-1.3005917880668518,0.2723705596837492,163.0
item_17,0.9156548473523782,2.498410794024848,304.0
item_18,0.6168825856512388,1.8531420163007513,285.0
item_19,1.9960809238175512,7.360154495946512,370.0
item_2,-0.2831972566130532,0.7533711657573235,227.0
item_20,1.2666987154323879,3.5491165573486976,326.0
item_3,0.2278058594162486,1.2558414919637748,260.0
item_4,0.11935904951298326,1.126774413471507,253.0
item_5,-0.345270963017945,0.7080284779402142,223.0
item_6,-2.252927026979335,0.10509116925101207,110.0
item_7,1.202373755535473,3.328007430022922,322.0
item_8,-1.7821011778643607,0.16828418053023436,135.0
item_9,-0.8786564575463658,0.4153405646638103,189.0
