item,a_2PL,b_2PL,b_1PL
vocab_q0,1.9097488975637928,-0.6190311460348488,-1.0283411870554768
vocab_q1,1.1266778282187466,-0.40095909127031704,-0.4748702074896831
vocab_q10,0.5756949852160518,0.873132565400906,0.5752489439993876
vocab_q11,2.0314165003224023,-0.28753006274463855,-0.5002847821787019
vocab_q12,2.677214393785563,-0.2814059000200685,-0.5559135005021949
vocab_q13,2.4638601113395278,-0.338106091991953,-0.6417415196667751
vocab_q14,1.665444490693588,-0.7423166650989765,-1.141476178622583
vocab_q15,2.0216722795123645,-0.03352410816034359,-0.07072547492632554
vocab_q16,2.780682220522128,-0.27843346694586074,-0.558575484628368
vocab_q17,2.1750468670205843,-0.8613546192728602,-1.531825834988989
vocab_q18,0.9631653328460021,1.6440994572282424,1.6717411352343456
vocab_q19,1.2198683022137633,-0.913368634750569,-1.1399511296611657
vocab_q2,1.6665919680469201,-0.6809914340966703,-1.0475493111622947
vocab_q20,1.014476428583222,-0.28898396512906055,-0.3170734248287791
vocab_q21,2.097460092862604,0.1150253614004218,0.1814425594847098
vocab_q22,1.54921518829451,-0.9370793397932644,-1.3776462856643925
vocab_q23,3.8944046471321885,-0.6613267491351478,-1.4393115035921347
vocab_q24,1.2378345691190784,0.28553249559935445,0.3476552249354251
vocab_q25,2.610504736547918,-0.1647878166568993,-0.33085961461247865
vocab_q26,2.604180401596308,-0.9248736458314333,-1.7835627998782906
vocab_q27,1.051998863747423,0.42614837524290955,0.4641527363152327
vocab_q28,2.2798840615941853,-1.0239430352956536,-1.8665833091258965
vocab_q29,2.75953880297134,-0.7722603123063079,-1.5207639401223623
vocab_q3,2.966380712598912,-0.9142395850364758,-1.849429926015506
vocab_q30,1.1353110890419131,0.7571261228744082,0.8765480089276447
vocab_q31,0.6659626958788449,0.8636763394926967,0.6484301079337706
vocab_q32,1.5448397040117492,0.39950602389777956,0.5658151232805277
vocab_q33,1.240875075204713,-0.6566636132246365,-0.8315081058540247
vocab_q34,0.41455404399892265,4.861691234361199,2.2906051298165595
vocab_q35,1.3850550790215077,0.5422858502926161,0.7198570395320392
vocab_q4,1.025666228854057,2.037607228970275,2.1713884368794845
vocab_q5,1.490097859711018,-0.37847397923281245,-0.5464765285754003
vocab_q6,1.766640676101035,-0.43614679024973607,-0.6970909626020851
vocab_q7,1.3702719821691838,0.2055215971940197,0.265754995801836
vocab_q8,1.097143742866621,-0.6685735580791383,-0.7724718379188137
vocab_q9,1.083178320430531,-0.5003418800578889,-0.5739680592972105
