item,BT_Score_Bipartite,BT_Strength_Bipartite,BT_Total_Wins
1,-1.8883324036104077,0.15132394581228076,370.0
2,0.9906683345372832,2.693033718477252,1471.0
3,-0.0005239728205310111,0.9994761644292546,1060.0
4,0.6815495430485664,1.9769387116963997,1349.0
5,1.0945674808204875,2.987890084108871,1510.0
6,-0.5599709308303712,0.5712256686633284,823.0
7,-0.5162244175772824,0.5967694520909751,841.0
8,-0.802110377674835,0.4483817101860312,726.0
9,-0.07013329608584859,0.9322695437422325,1030.0
10,0.05048223191866574,1.0517781751088158,1082.0
11,-0.13989356990003513,0.8694507662066489,1000.0
12,0.17811238531061566,1.1949596095955375,1137.0
13,0.10845502175586368,1.114554776694079,1107.0
14,0.28531944938550546,1.3301868876411689,1183.0
15,-1.1369589962830717,0.32079307294630044,601.0
16,-0.4799981881484886,0.6187845129507802,856.0
17,-0.42481838156544577,0.653888532557816,879.0
18,-0.4081057170038298,0.664908582963522,886.0
19,-0.16552927022225905,0.8474450579366984,989.0
20,-0.8072379981026546,0.44608846344343756,724.0
